"Phylum"	"Species"	"Habitat"	"AQP1.like"	"AQP3.like"	"AQP8.like"	"AQP11.like"
"Arthropoda"	"TGUL1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"THER1"	"Terrestrial"	3	3	0	0
"Arthropoda"	"TICA2"	"Marine"	3	4	0	2
"Arthropoda"	"TJAP1"	"Marine"	3	3	0	0
"Arthropoda"	"TJAV1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"TMAR1"	"Terrestrial"	1	3	0	0
"Arthropoda"	"TMER1"	"Terrestrial"	2	3	0	2
"Arthropoda"	"TNEW1"	"Marine"	2	1	0	1
"Arthropoda"	"TORB1"	"Marine"	0	2	0	0
"Arthropoda"	"TPAL2"	"Terrestrial"	8	0	0	1
"Arthropoda"	"TRAD1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"TRCA1"	"Freshwater"	6	0	0	1
"Arthropoda"	"TRLO1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"TSAV1"	"Terrestrial"	1	3	0	1
"Arthropoda"	"TSPI1"	"Terrestrial"	8	1	0	0
"Arthropoda"	"TSTE1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"TSUB1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"TTRI1"	"Marine"	13	5	0	1
"Arthropoda"	"TURT1"	"Terrestrial"	1	6	0	1
"Arthropoda"	"UELO1"	"Terrestrial"	4	2	0	0
"Arthropoda"	"UHUA1"	"Terrestrial"	3	3	0	0
"Arthropoda"	"UMOR1"	"Terrestrial"	2	2	0	0
"Arthropoda"	"VDES1"	"Terrestrial"	2	2	0	0
"Arthropoda"	"VHIL1"	"Marine"	6	2	0	1
"Arthropoda"	"VJAC1"	"Terrestrial"	1	3	0	1
"Arthropoda"	"VMEX1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"XTUL1"	"Brackish"	4	1	0	2
"Arthropoda"	"XVES1"	"Terrestrial"	3	0	0	0
"Arthropoda"	"ZCES1"	"Terrestrial"	7	0	0	1
"Arthropoda"	"ZNEV1"	"Terrestrial"	4	0	0	1
"Onychophora"	"ETOT1"	"Terrestrial"	9	2	0	1
"Onychophora"	"EPPA1"	"Terrestrial"	12	2	0	1
"Onychophora"	"OKWA1"	"Terrestrial"	7	5	0	2
"Onychophora"	"EROW2"	"Terrestrial"	7	4	0	0
"Mollusca"	"ABIP1"	"Terrestrial"	15	1	1	1
"Mollusca"	"ACAL1"	"Marine"	5	2	3	1
"Mollusca"	"ACHE1"	"Terrestrial"	15	1	1	0
"Mollusca"	"ACRA1"	"Marine"	3	2	1	2
"Mollusca"	"ACRI1"	"Marine"	6	3	1	2
"Mollusca"	"ADUX1"	"Marine"	8	3	0	2
"Mollusca"	"AENI1"	"Marine"	3	2	1	2
"Mollusca"	"AGEM1"	"Marine"	3	1	2	0
"Mollusca"	"AIMM1"	"Terrestrial"	13	1	2	0
