"Phylum"	"Species"	"Habitat"	"AQP1-like"	"AQP3-like"	"AQP8-like"	"AQP11-like"
"Arthropoda"	"PSIM1"	"Terrestrial"	9	0	0	1
"Arthropoda"	"PSIN1"	"Terrestrial"	2	3	0	0
"Arthropoda"	"PSSP1"	"Terrestrial"	3	7	0	1
"Arthropoda"	"PSUB1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"PTEP1"	"Terrestrial"	5	5	0	1
"Arthropoda"	"PURU1"	"Aquatic"	3	2	0	1
"Arthropoda"	"PVAL1"	"Terrestrial"	4	2	0	2
"Arthropoda"	"PVAN1"	"Aquatic"	7	2	0	1
"Arthropoda"	"RATE1"	"Terrestrial"	2	4	0	0
"Arthropoda"	"RLON1"	"Terrestrial"	6	1	0	1
"Arthropoda"	"RMIN1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"RPRO1"	"Terrestrial"	4	0	0	0
"Arthropoda"	"RROB1"	"Terrestrial"	1	8	0	1
"Arthropoda"	"RSAN1"	"Terrestrial"	3	6	0	1
"Arthropoda"	"SACU1"	"Terrestrial"	9	1	0	1
"Arthropoda"	"SAPI1"	"Terrestrial"	1	4	0	2
"Arthropoda"	"SBAH1"	"Terrestrial"	8	2	0	1
"Arthropoda"	"SBOY1"	"Terrestrial"	1	3	0	1
"Arthropoda"	"SCAP1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"SCAR1"	"Terrestrial"	4	2	0	1
"Arthropoda"	"SCHE1"	"Aquatic"	2	3	0	1
"Arthropoda"	"SCIN1"	"Terrestrial"	13	1	0	1
"Arthropoda"	"SCOL3"	"Terrestrial"	7	0	0	1
"Arthropoda"	"SCOR1"	"Terrestrial"	3	4	0	0
"Arthropoda"	"SCRY1"	"Aquatic"	2	1	0	1
"Arthropoda"	"SDON1"	"Terrestrial"	4	2	0	1
"Arthropoda"	"SDUM1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"SEGE1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"SFRU1"	"Terrestrial"	8	0	0	0
"Arthropoda"	"SLIN1"	"Terrestrial"	8	2	0	1
"Arthropoda"	"SLOB1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"SLUC1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"SMAG1"	"Terrestrial"	2	7	0	0
"Arthropoda"	"SMUC1"	"Aquatic"	3	1	0	1
"Arthropoda"	"SOLP1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"SPOR1"	"Terrestrial"	5	4	0	1
"Arthropoda"	"SROV1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"SRUB1"	"Terrestrial"	10	1	0	1
"Arthropoda"	"SRUF1"	"Terrestrial"	2	2	0	0
"Arthropoda"	"SSCA1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"SSEX1"	"Terrestrial"	3	1	0	1
"Arthropoda"	"SSTA1"	"Aquatic"	12	0	0	1
"Arthropoda"	"STER1"	"Aquatic"	7	1	0	2
"Arthropoda"	"STSP1"	"Terrestrial"	1	2	0	0
"Arthropoda"	"SVET1"	"Aquatic"	2	4	0	1
"Arthropoda"	"SWEB1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"SYMP1"	"Terrestrial"	7	4	0	1
"Arthropoda"	"TCAL1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"TCAS1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"TCIN1"	"Terrestrial"	1	7	0	1
"Arthropoda"	"TCOR1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"TDOM1"	"Terrestrial"	7	3	0	1
"Arthropoda"	"TEJA1"	"Aquatic"	4	2	0	1
"Arthropoda"	"TGER1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"TGIG1"	"Aquatic"	14	7	0	2
"Arthropoda"	"TGRA1"	"Aquatic"	1	1	0	1
"Arthropoda"	"TGUL1"	"Terrestrial"	3	2	0	1
